speaker,total_duration
ho-chi-minh_3527763,1175.6105000000002
ho-chi-minh_3597086,1157.5040000000006
long-an_0351438,1149.9231249999996
ho-chi-minh_3522403,1114.976
ho-chi-minh_3650486,1112.7039999999997
ho-chi-minh_3650483,1112.2879999999993
an-giang_3567120,1055.0466250000002
đong-nai_0320223,1050.0799999999995
ho-chi-minh_3550017,1047.9412499999996
ho-chi-minh_3568458,1043.369125
ho-chi-minh_3595510,1039.104
an-giang_0373614,1038.9876250000002
soc-trang_3644441,1037.9840000000002
ho-chi-minh_3612093,1034.2719999999997
ho-chi-minh_3500768,1031.9465000000005
ho-chi-minh_3600893,1027.4138750000002
can-tho_0332405,1019.9834999999997
ho-chi-minh_3605966,1009.2160000000003
ho-chi-minh_3575419,1006.9462500000004
ho-chi-minh_0321442,1002.6143750000003
can-tho_0321597,1001.2146250000001
ho-chi-minh_3630605,1000.8960000000008
long-an_0367784,998.3567499999994
an-giang_0324804,995.4957500000002
an-giang_3616919,991.4571250000007
ho-chi-minh_3611715,989.4264999999996
ho-chi-minh_3579436,986.9843749999997
ho-chi-minh_3596898,984.9142499999998
ho-chi-minh_3582788,975.3279999999995
ho-chi-minh_3550536,973.3439999999997
ho-chi-minh_3574834,969.8146250000007
ho-chi-minh_3503091,968.1956249999998
ho-chi-minh_3644851,963.1680000000001
an-giang_3523175,960.2198749999999
ho-chi-minh_3531432,957.10625
soc-trang_3644287,956.6916249999992
ho-chi-minh_3626243,956.478625
đong-nai_3524309,956.3506250000002
ho-chi-minh_0316215,955.902125
an-giang_0373610,950.9131249999996
ben-tre_0309326,949.0557500000001
ho-chi-minh_3526476,947.0720000000006
an-giang_0324791,943.5503750000005
soc-trang_3631973,942.7839999999999
ho-chi-minh_3581240,942.4466250000007
an-giang_3520715,937.265125
ho-chi-minh_0948175,935.8132499999995
ben-tre_3549342,933.1199999999997
ben-tre_3607966,932.9746250000005
ho-chi-minh_3607475,932.7281249999995
ho-chi-minh_3577342,931.6298750000002
ho-chi-minh_0375166,931.2221249999994
can-tho_3644836,923.4091249999999
ho-chi-minh_3549581,922.9346249999996
soc-trang_0950370,922.9012499999998
ho-chi-minh_3591966,921.7919999999995
đong-nai_0331714,921.5039999999999
ho-chi-minh_3646648,921.4638749999998
ho-chi-minh_3636802,916.0273750000005
an-giang_0362634,915.8080000000001
an-giang_0321496,915.1679999999994
ho-chi-minh_0986908,914.3666249999998
ben-tre_0369644,914.2866250000003
ho-chi-minh_0336169,913.6306250000001
vinh-long_3609851,912.0665000000002
an-giang_0308490,910.0447500000001
hau-giang_0317516,909.5040000000005
ho-chi-minh_3510169,909.0772500000003
an-giang_0321486,907.3652500000003
an-giang_3594518,906.688
ho-chi-minh_0080304,905.9517499999995
an-giang_3520719,901.9478749999997
ho-chi-minh_3549354,900.6400000000004
ho-chi-minh_3503130,900.5172500000002
an-giang_0348999,899.302625
ho-chi-minh_3633549,899.1732499999999
ho-chi-minh_0350787,898.7986250000004
ho-chi-minh_0335643,898.774625
can-tho_3627660,897.5892499999995
an-giang_0950632,896.6132499999998
vinh-long_3630482,895.8399999999998
an-giang_3502244,893.6223750000007
vinh-long_0320175,891.4879999999999
ho-chi-minh_0350792,887.9940000000006
ho-chi-minh_3559874,886.8552499999997
ho-chi-minh_3501262,886.1666249999998
ho-chi-minh_3547345,885.9586250000002
hau-giang_0312669,885.0555000000004
đong-nai_0363979,883.8955
đong-nai_3500432,881.7026250000004
ho-chi-minh_3650713,881.3120000000001
ho-chi-minh_3551550,881.2480000000005
an-giang_0314920,880.9026250000001
can-tho_0314913,880.662625
soc-trang_3644291,880.5120000000003
ho-chi-minh_0978922,879.9506249999997
ho-chi-minh_3545282,879.3599999999996
ho-chi-minh_3624178,878.7839999999998
hau-giang_3502729,877.725
ho-chi-minh_3502901,877.2838750000003
hau-giang_3540685,877.2786250000004
ho-chi-minh_0996470,875.3280000000001
ho-chi-minh_3547583,874.0706249999998
ho-chi-minh_0332508,872.2344999999998
an-giang_3533629,872.1318749999999
an-giang_0951768,870.6706249999999
ho-chi-minh_0349250,870.6072499999996
ho-chi-minh_3540345,869.312
an-giang_3624138,869.2480000000003
long-an_3636703,869.1812499999996
long-an_3650682,868.0639999999997
ho-chi-minh_0981102,867.4132499999997
an-giang_0322950,865.419875
ho-chi-minh_0335649,864.8640000000001
soc-trang_3644835,864.3997499999999
vinh-long_0952888,863.4132500000001
đong-nai_0331716,861.3439999999997
ben-tre_3581251,860.7983750000001
ho-chi-minh_3650504,859.7901249999995
can-tho_0350836,859.6066250000002
ho-chi-minh_3648235,858.893
ho-chi-minh_0320749,858.190125
ho-chi-minh_3612522,857.5283749999999
can-tho_3540439,857.1199999999999
ho-chi-minh_3647807,856.704
hau-giang_3637784,856.3222499999996
an-giang_0320356,855.6159999999998
hau-giang_0373449,855.27975
an-giang_0330655,854.8786249999999
ho-chi-minh_3647395,854.7106249999999
ho-chi-minh_3505975,853.7266249999998
an-giang_0375302,853.5412500000002
ho-chi-minh_3593237,852.9280000000003
an-giang_3544013,851.3026249999997
ben-tre_0377167,848.672
ho-chi-minh_3650956,847.7439999999995
ho-chi-minh_3616563,844.6080000000004
ho-chi-minh_3607836,844.5972500000004
vinh-long_3644732,844.5266250000002
can-tho_3649440,844.5236249999996
đong-nai_0356293,843.5608749999997
soc-trang_3619225,842.8918749999998
